team,dist,terr,product,1P,2P,3P,4P,5P,6P,7P,8P,9P,10P,11P,12P,YTD
CORE2,GH_CORE2,CORE2101,XELJANZ,"26,803","61,853","31,807","35,080","65,663","23,044","25,090","45,197","32,890","38,775","36,297","31,565","454,063"
CORE2,GH_CORE2,CORE2102,XELJANZ,"14,709","44,874","16,209","13,465","27,294","20,241","26,214","32,971","20,841","39,558","25,974","14,635","296,985"
CORE2,GH_CORE2,CORE2103,XELJANZ,"35,301","44,470","40,676","23,386","36,787","25,806","26,588","37,417","26,051","49,350","27,972","21,808","395,613"
CORE2,GH_CORE2,CORE2104,XELJANZ,"27,784","44,874","17,127","21,969","25,711","19,307","34,078","24,821","31,913","47,000","24,975","13,200","332,758"
CORE2,GH_CORE2,CORE2105,XELJANZ,"25,822","38,406","24,773","32,245","23,338","12,145","23,592","27,414","21,818","20,367","23,310","16,930","290,160"
CORE2,GH_CORE2,CORE2106,XELJANZ,"12,421","12,532","24,161","14,528","13,449","14,947","16,477","11,855","12,700","16,842","11,988","15,516","177,416"
CORE2,GH_CORE2,CORE2107,XELJANZ,"24,842","55,789","24,161","35,080","30,854","20,241","39,320","37,417","28,611","35,250","27,639","26,400","385,603"
CORE2,GH_CORE2,CORE2108,XELJANZ,"37,263","41,640","27,525","48,899","26,898","29,895","35,576","28,155","21,492","34,075","23,976","21,235","376,628"
CORE2,GH_CORE2,CORE2110,XELJANZ,"41,839","60,641","47,099","44,292","41,534","43,596","51,678","44,826","25,726","59,925","44,955","33,287","539,397"
CORE2,GH_CORE2,CORE2101,XELJANZ 10,0,0,0,0,0,0,0,0,0,0,0,0,0
CORE2,GH_CORE2,CORE2102,XELJANZ 10,0,0,0,0,0,0,0,0,0,0,0,0,0
CORE2,GH_CORE2,CORE2103,XELJANZ 10,"6,886","4,099","11,142","9,711","3,317","6,330","9,488","2,298","15,682","14,321","11,697","12,509","107,480"
CORE2,GH_CORE2,CORE2104,XELJANZ 10,"-5,297","1,366","1,857","-1,295",0,"1,666","2,033","4,595","5,645","6,420","4,456","6,255","27,701"
CORE2,GH_CORE2,CORE2105,XELJANZ 10,0,"5,009","6,499",0,"8,844","2,998","3,389","7,659","8,154","1,481","2,228","1,840","48,103"
CORE2,GH_CORE2,CORE2106,XELJANZ 10,0,0,0,0,0,0,0,0,0,0,0,0,0
CORE2,GH_CORE2,CORE2107,XELJANZ 10,"5,297","5,465","8,356","7,769","6,633","3,998","12,877","5,361","3,136","10,864","8,355","10,670","88,782"
CORE2,GH_CORE2,CORE2108,XELJANZ 10,0,0,0,0,0,0,0,0,0,0,0,0,0
CORE2,GH_CORE2,CORE2110,XELJANZ 10,"7,946","15,484","11,142","9,711","23,216","4,164","8,811","23,743","22,582","10,370","7,798","11,405","156,373"
CORE2_E,GH_CORE2,CORE2109,CIBINQO,0,0,0,0,0,0,0,0,"1,750",0,"3,966",0,"5,717"
CORE2_E,GH_CORE2,CORE2109,ENBREL,"75,158","112,892","72,960","95,236","116,173","50,280","67,185","123,186","69,790","111,465","94,647","50,541","1,039,512"
CORE2_E,GH_CORE2,CORE2109,XELJANZ,"61,777","64,279","37,312","80,789","37,183","66,951","72,649","47,049","51,451","74,808","46,287","47,634","688,171"
CORE2_E,GH_CORE2,CORE2109,XELJANZ 10,"6,357","1,822","4,642","-7,769","3,317","4,997","8,133","6,127","6,273","9,383","2,228","2,575","48,084"
